SMILES,targets
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:17][cH:19][c:21]([C:22]([O:23][CH3:25])=[O:24])[cH:20][cH:18]1)[NH2:5].O=[CH:2][c:1]1[cH:9][c:11]([C:13]#[N:15])[c:14]([F:16])[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:17][cH:19][c:21]([C:22]([O:23][CH3:25])=[O:24])[cH:20][cH:18]3)[CH2:6][O:7][CH2:8]2)[cH:9][c:11]([C:13]#[N:15])[c:14]([F:16])[cH:12][cH:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:21][cH:23][c:25]([C:26]([O:27][CH3:29])=[O:28])[cH:24][cH:22]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([CH2:14][N:15]2[CH2:16][CH2:18][O:20][CH2:19][CH2:17]2)[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:21][cH:23][c:25]([C:26]([O:27][CH3:29])=[O:28])[cH:24][cH:22]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([CH2:14][N:15]2[CH2:16][CH2:18][O:20][CH2:19][CH2:17]2)[cH:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][c:18]([C:19]([O:20][CH3:22])=[O:21])[cH:17][cH:15]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][cH:13][n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][c:18]([C:19]([O:20][CH3:22])=[O:21])[cH:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][cH:13][n:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:20][cH:22][c:24]([C:25]([O:26][CH3:28])=[O:27])[cH:23][cH:21]1)[NH2:5].O=[CH:2][c:1]1[cH:9][n:11][c:13](-[c:14]2[cH:15][cH:17][cH:19][cH:18][cH:16]2)[n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:20][cH:22][c:24]([C:25]([O:26][CH3:28])=[O:27])[cH:23][cH:21]3)[CH2:6][O:7][CH2:8]2)[cH:9][n:11][c:13](-[c:14]2[cH:15][cH:17][cH:19][cH:18][cH:16]2)[n:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:18][cH:20][c:22]([C:23]([O:24][CH3:26])=[O:25])[cH:21][cH:19]1)[NH2:5].O=[CH:2][c:1]1[n:9]([CH3:11])[c:12]2[c:13]([n:10]1)[cH:15][cH:17][cH:16][cH:14]2>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:18][cH:20][c:22]([C:23]([O:24][CH3:26])=[O:25])[cH:21][cH:19]3)[CH2:6][O:7][CH2:8]2)[n:9]([CH3:11])[c:12]2[c:13]([n:10]1)[cH:15][cH:17][cH:16][cH:14]2,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][c:18]([C:19]([O:20][CH3:22])=[O:21])[cH:17][cH:15]1)[NH2:5].O=[CH:2][c:1]1[cH:9][n:11]([CH3:13])[n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][c:18]([C:19]([O:20][CH3:22])=[O:21])[cH:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[cH:9][n:11]([CH3:13])[n:12][cH:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][c:17]([C:18]([O:19][CH3:21])=[O:20])[cH:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]([CH2:9][CH3:11])[CH2:10][CH3:12]>>[CH:1]([CH:2]1[NH:5][CH:4]([c:3]2[cH:13][cH:15][c:17]([C:18]([O:19][CH3:21])=[O:20])[cH:16][cH:14]2)[CH2:6][O:7][CH2:8]1)([CH2:9][CH3:11])[CH2:10][CH3:12],1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][c:17]([C:18]([O:19][CH3:21])=[O:20])[cH:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]1[CH2:9][CH2:11][CH2:12][CH2:10]1>>[CH:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:13][cH:15][c:17]([C:18]([O:19][CH3:21])=[O:20])[cH:16][cH:14]3)[CH2:6][O:7][CH2:8]2)[CH2:9][CH2:11][CH2:12][CH2:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][c:17]([C:18]([O:19][CH3:21])=[O:20])[cH:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]([CH2:9][CH2:11][CH3:12])[CH3:10]>>[CH:1]([CH:2]1[NH:5][CH:4]([c:3]2[cH:13][cH:15][c:17]([C:18]([O:19][CH3:21])=[O:20])[cH:16][cH:14]2)[CH2:6][O:7][CH2:8]1)([CH2:9][CH2:11][CH3:12])[CH3:10],1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][c:18]([C:19]([O:20][CH3:22])=[O:21])[cH:17][cH:15]1)[NH2:5].O=[CH:2][CH:1]1[CH2:9][CH2:11][CH2:13][CH2:12][CH2:10]1>>[CH:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][c:18]([C:19]([O:20][CH3:22])=[O:21])[cH:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[CH2:9][CH2:11][CH2:13][CH2:12][CH2:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:15][cH:17][c:19]([C:20]#[N:21])[cH:18][cH:16]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([Cl:14])[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:15][cH:17][c:19]([C:20]#[N:21])[cH:18][cH:16]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([Cl:14])[cH:12][cH:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:18][cH:20][c:22]([C:23]#[N:24])[cH:21][cH:19]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([NH:14][C:15]([CH3:16])=[O:17])[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:18][cH:20][c:22]([C:23]#[N:24])[cH:21][cH:19]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([NH:14][C:15]([CH3:16])=[O:17])[cH:12][cH:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:17][cH:19][c:21]([C:22]#[N:23])[cH:20][cH:18]1)[NH2:5].O=[CH:2][c:1]1[cH:9][c:11]([C:13]#[N:15])[c:14]([F:16])[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:17][cH:19][c:21]([C:22]#[N:23])[cH:20][cH:18]3)[CH2:6][O:7][CH2:8]2)[cH:9][c:11]([C:13]#[N:15])[c:14]([F:16])[cH:12][cH:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:21][cH:23][c:25]([C:26]#[N:27])[cH:24][cH:22]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([CH2:14][N:15]2[CH2:16][CH2:18][O:20][CH2:19][CH2:17]2)[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:21][cH:23][c:25]([C:26]#[N:27])[cH:24][cH:22]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([CH2:14][N:15]2[CH2:16][CH2:18][O:20][CH2:19][CH2:17]2)[cH:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][c:18]([C:19]#[N:20])[cH:17][cH:15]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][cH:13][n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][c:18]([C:19]#[N:20])[cH:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][cH:13][n:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:20][cH:22][c:24]([C:25]#[N:26])[cH:23][cH:21]1)[NH2:5].O=[CH:2][c:1]1[cH:9][n:11][c:13](-[c:14]2[cH:15][cH:17][cH:19][cH:18][cH:16]2)[n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:20][cH:22][c:24]([C:25]#[N:26])[cH:23][cH:21]3)[CH2:6][O:7][CH2:8]2)[cH:9][n:11][c:13](-[c:14]2[cH:15][cH:17][cH:19][cH:18][cH:16]2)[n:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:18][cH:20][c:22]([C:23]#[N:24])[cH:21][cH:19]1)[NH2:5].O=[CH:2][c:1]1[n:9]([CH3:11])[c:12]2[c:13]([n:10]1)[cH:15][cH:17][cH:16][cH:14]2>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:18][cH:20][c:22]([C:23]#[N:24])[cH:21][cH:19]3)[CH2:6][O:7][CH2:8]2)[n:9]([CH3:11])[c:12]2[c:13]([n:10]1)[cH:15][cH:17][cH:16][cH:14]2,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][c:18]([C:19]#[N:20])[cH:17][cH:15]1)[NH2:5].O=[CH:2][c:1]1[cH:9][n:11]([CH3:13])[n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][c:18]([C:19]#[N:20])[cH:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[cH:9][n:11]([CH3:13])[n:12][cH:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][c:17]([C:18]#[N:19])[cH:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]([CH2:9][CH3:11])[CH2:10][CH3:12]>>[CH:1]([CH:2]1[NH:5][CH:4]([c:3]2[cH:13][cH:15][c:17]([C:18]#[N:19])[cH:16][cH:14]2)[CH2:6][O:7][CH2:8]1)([CH2:9][CH3:11])[CH2:10][CH3:12],1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][c:17]([C:18]#[N:19])[cH:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]1[CH2:9][CH2:11][CH2:12][CH2:10]1>>[CH:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:13][cH:15][c:17]([C:18]#[N:19])[cH:16][cH:14]3)[CH2:6][O:7][CH2:8]2)[CH2:9][CH2:11][CH2:12][CH2:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][c:17]([C:18]#[N:19])[cH:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]([CH2:9][CH2:11][CH3:12])[CH3:10]>>[CH:1]([CH:2]1[NH:5][CH:4]([c:3]2[cH:13][cH:15][c:17]([C:18]#[N:19])[cH:16][cH:14]2)[CH2:6][O:7][CH2:8]1)([CH2:9][CH2:11][CH3:12])[CH3:10],1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][c:18]([C:19]#[N:20])[cH:17][cH:15]1)[NH2:5].O=[CH:2][CH:1]1[CH2:9][CH2:11][CH2:13][CH2:12][CH2:10]1>>[CH:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][c:18]([C:19]#[N:20])[cH:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[CH2:9][CH2:11][CH2:13][CH2:12][CH2:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:15][cH:17][cH:19][n:18][cH:16]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([Cl:14])[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:15][cH:17][cH:19][n:18][cH:16]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([Cl:14])[cH:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:18][cH:20][cH:22][n:21][cH:19]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([NH:14][C:15]([CH3:16])=[O:17])[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:18][cH:20][cH:22][n:21][cH:19]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([NH:14][C:15]([CH3:16])=[O:17])[cH:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:17][cH:19][cH:21][n:20][cH:18]1)[NH2:5].O=[CH:2][c:1]1[cH:9][c:11]([C:13]#[N:15])[c:14]([F:16])[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:17][cH:19][cH:21][n:20][cH:18]3)[CH2:6][O:7][CH2:8]2)[cH:9][c:11]([C:13]#[N:15])[c:14]([F:16])[cH:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:21][cH:23][cH:25][n:24][cH:22]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([CH2:14][N:15]2[CH2:16][CH2:18][O:20][CH2:19][CH2:17]2)[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:21][cH:23][cH:25][n:24][cH:22]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([CH2:14][N:15]2[CH2:16][CH2:18][O:20][CH2:19][CH2:17]2)[cH:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][cH:18][n:17][cH:15]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][cH:13][n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][cH:18][n:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][cH:13][n:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:20][cH:22][cH:24][n:23][cH:21]1)[NH2:5].O=[CH:2][c:1]1[cH:9][n:11][c:13](-[c:14]2[cH:15][cH:17][cH:19][cH:18][cH:16]2)[n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:20][cH:22][cH:24][n:23][cH:21]3)[CH2:6][O:7][CH2:8]2)[cH:9][n:11][c:13](-[c:14]2[cH:15][cH:17][cH:19][cH:18][cH:16]2)[n:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:18][cH:20][cH:22][n:21][cH:19]1)[NH2:5].O=[CH:2][c:1]1[n:9]([CH3:11])[c:12]2[c:13]([n:10]1)[cH:15][cH:17][cH:16][cH:14]2>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:18][cH:20][cH:22][n:21][cH:19]3)[CH2:6][O:7][CH2:8]2)[n:9]([CH3:11])[c:12]2[c:13]([n:10]1)[cH:15][cH:17][cH:16][cH:14]2,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][cH:18][n:17][cH:15]1)[NH2:5].O=[CH:2][c:1]1[cH:9][n:11]([CH3:13])[n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][cH:18][n:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[cH:9][n:11]([CH3:13])[n:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][cH:17][n:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]([CH2:9][CH3:11])[CH2:10][CH3:12]>>[CH:1]([CH:2]1[NH:5][CH:4]([c:3]2[cH:13][cH:15][cH:17][n:16][cH:14]2)[CH2:6][O:7][CH2:8]1)([CH2:9][CH3:11])[CH2:10][CH3:12],0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][cH:17][n:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]1[CH2:9][CH2:11][CH2:12][CH2:10]1>>[CH:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:13][cH:15][cH:17][n:16][cH:14]3)[CH2:6][O:7][CH2:8]2)[CH2:9][CH2:11][CH2:12][CH2:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][cH:17][n:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]([CH2:9][CH2:11][CH3:12])[CH3:10]>>[CH:1]([CH:2]1[NH:5][CH:4]([c:3]2[cH:13][cH:15][cH:17][n:16][cH:14]2)[CH2:6][O:7][CH2:8]1)([CH2:9][CH2:11][CH3:12])[CH3:10],0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][cH:18][n:17][cH:15]1)[NH2:5].O=[CH:2][CH:1]1[CH2:9][CH2:11][CH2:13][CH2:12][CH2:10]1>>[CH:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][cH:18][n:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[CH2:9][CH2:11][CH2:13][CH2:12][CH2:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:15][cH:17][c:19](-[c:20]2[cH:21][cH:23][cH:25][cH:24][n:22]2)[cH:18][cH:16]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([Cl:14])[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:15][cH:17][c:19](-[c:20]4[cH:21][cH:23][cH:25][cH:24][n:22]4)[cH:18][cH:16]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([Cl:14])[cH:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:18][cH:20][c:22](-[c:23]2[cH:24][cH:26][cH:28][cH:27][n:25]2)[cH:21][cH:19]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([NH:14][C:15]([CH3:16])=[O:17])[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:18][cH:20][c:22](-[c:23]4[cH:24][cH:26][cH:28][cH:27][n:25]4)[cH:21][cH:19]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([NH:14][C:15]([CH3:16])=[O:17])[cH:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:17][cH:19][c:21](-[c:22]2[cH:23][cH:25][cH:27][cH:26][n:24]2)[cH:20][cH:18]1)[NH2:5].O=[CH:2][c:1]1[cH:9][c:11]([C:13]#[N:15])[c:14]([F:16])[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:17][cH:19][c:21](-[c:22]4[cH:23][cH:25][cH:27][cH:26][n:24]4)[cH:20][cH:18]3)[CH2:6][O:7][CH2:8]2)[cH:9][c:11]([C:13]#[N:15])[c:14]([F:16])[cH:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:21][cH:23][c:25](-[c:26]2[cH:27][cH:29][cH:31][cH:30][n:28]2)[cH:24][cH:22]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([CH2:14][N:15]2[CH2:16][CH2:18][O:20][CH2:19][CH2:17]2)[cH:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:21][cH:23][c:25](-[c:26]4[cH:27][cH:29][cH:31][cH:30][n:28]4)[cH:24][cH:22]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([CH2:14][N:15]2[CH2:16][CH2:18][O:20][CH2:19][CH2:17]2)[cH:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][c:18](-[c:19]2[cH:20][cH:22][cH:24][cH:23][n:21]2)[cH:17][cH:15]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][cH:13][n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][c:18](-[c:19]4[cH:20][cH:22][cH:24][cH:23][n:21]4)[cH:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][cH:13][n:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:20][cH:22][c:24](-[c:25]2[cH:26][cH:28][cH:30][cH:29][n:27]2)[cH:23][cH:21]1)[NH2:5].O=[CH:2][c:1]1[cH:9][n:11][c:13](-[c:14]2[cH:15][cH:17][cH:19][cH:18][cH:16]2)[n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:20][cH:22][c:24](-[c:25]4[cH:26][cH:28][cH:30][cH:29][n:27]4)[cH:23][cH:21]3)[CH2:6][O:7][CH2:8]2)[cH:9][n:11][c:13](-[c:14]2[cH:15][cH:17][cH:19][cH:18][cH:16]2)[n:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:18][cH:20][c:22](-[c:23]2[cH:24][cH:26][cH:28][cH:27][n:25]2)[cH:21][cH:19]1)[NH2:5].O=[CH:2][c:1]1[n:9]([CH3:11])[c:12]2[c:13]([n:10]1)[cH:15][cH:17][cH:16][cH:14]2>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:18][cH:20][c:22](-[c:23]4[cH:24][cH:26][cH:28][cH:27][n:25]4)[cH:21][cH:19]3)[CH2:6][O:7][CH2:8]2)[n:9]([CH3:11])[c:12]2[c:13]([n:10]1)[cH:15][cH:17][cH:16][cH:14]2,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][c:18](-[c:19]2[cH:20][cH:22][cH:24][cH:23][n:21]2)[cH:17][cH:15]1)[NH2:5].O=[CH:2][c:1]1[cH:9][n:11]([CH3:13])[n:12][cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][c:18](-[c:19]4[cH:20][cH:22][cH:24][cH:23][n:21]4)[cH:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[cH:9][n:11]([CH3:13])[n:12][cH:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][c:17](-[c:18]2[cH:19][cH:21][cH:23][cH:22][n:20]2)[cH:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]([CH2:9][CH3:11])[CH2:10][CH3:12]>>[CH:1]([CH:2]1[NH:5][CH:4]([c:3]2[cH:13][cH:15][c:17](-[c:18]3[cH:19][cH:21][cH:23][cH:22][n:20]3)[cH:16][cH:14]2)[CH2:6][O:7][CH2:8]1)([CH2:9][CH3:11])[CH2:10][CH3:12],0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][c:17](-[c:18]2[cH:19][cH:21][cH:23][cH:22][n:20]2)[cH:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]1[CH2:9][CH2:11][CH2:12][CH2:10]1>>[CH:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:13][cH:15][c:17](-[c:18]4[cH:19][cH:21][cH:23][cH:22][n:20]4)[cH:16][cH:14]3)[CH2:6][O:7][CH2:8]2)[CH2:9][CH2:11][CH2:12][CH2:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:13][cH:15][c:17](-[c:18]2[cH:19][cH:21][cH:23][cH:22][n:20]2)[cH:16][cH:14]1)[NH2:5].O=[CH:2][CH:1]([CH2:9][CH2:11][CH3:12])[CH3:10]>>[CH:1]([CH:2]1[NH:5][CH:4]([c:3]2[cH:13][cH:15][c:17](-[c:18]3[cH:19][cH:21][cH:23][cH:22][n:20]3)[cH:16][cH:14]2)[CH2:6][O:7][CH2:8]1)([CH2:9][CH2:11][CH3:12])[CH3:10],0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:14][cH:16][c:18](-[c:19]2[cH:20][cH:22][cH:24][cH:23][n:21]2)[cH:17][cH:15]1)[NH2:5].O=[CH:2][CH:1]1[CH2:9][CH2:11][CH2:13][CH2:12][CH2:10]1>>[CH:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:14][cH:16][c:18](-[c:19]4[cH:20][cH:22][cH:24][cH:23][n:21]4)[cH:17][cH:15]3)[CH2:6][O:7][CH2:8]2)[CH2:9][CH2:11][CH2:13][CH2:12][CH2:10]1,0
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:15][c:17]([C:19]([CH3:22])([CH3:23])[CH3:24])[cH:20][c:18]([C:21]([CH3:25])([CH3:26])[CH3:27])[cH:16]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][cH:13][c:12]([CH3:14])[cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:15][c:17]([C:19]([CH3:22])([CH3:23])[CH3:24])[cH:20][c:18]([C:21]([CH3:25])([CH3:26])[CH3:27])[cH:16]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][cH:13][c:12]([CH3:14])[cH:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:16][c:18]([C:20]([CH3:23])([CH3:24])[CH3:25])[cH:21][c:19]([C:22]([CH3:26])([CH3:27])[CH3:28])[cH:17]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:13]([Cl:15])[c:12]([Cl:14])[cH:10]1>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:16][c:18]([C:20]([CH3:23])([CH3:24])[CH3:25])[cH:21][c:19]([C:22]([CH3:26])([CH3:27])[CH3:28])[cH:17]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:13]([Cl:15])[c:12]([Cl:14])[cH:10]1,1
C[Si](C)(C)[CH2:8][O:7][CH2:6][CH:4]([c:3]1[cH:16][c:18]([C:20]([CH3:23])([CH3:24])[CH3:25])[cH:21][c:19]([C:22]([CH3:26])([CH3:27])[CH3:28])[cH:17]1)[NH2:5].O=[CH:2][c:1]1[cH:9][cH:11][c:14]([F:15])[cH:12][c:10]1[Cl:13]>>[c:1]1([CH:2]2[NH:5][CH:4]([c:3]3[cH:16][c:18]([C:20]([CH3:23])([CH3:24])[CH3:25])[cH:21][c:19]([C:22]([CH3:26])([CH3:27])[CH3:28])[cH:17]3)[CH2:6][O:7][CH2:8]2)[cH:9][cH:11][c:14]([F:15])[cH:12][c:10]1[Cl:13],1
